var,city,model,lead,n,ME,MAE
tcc,수원,ECMWF,000-024h,269,0.37,20.49
tcc,수원,ECMWF,024-048h,264,1.67,19.52
tcc,수원,ECMWF,048-072h,257,0.91,21.42
tcc,수원,ECMWF,072-120h,479,6.41,23.03
tcc,수원,ECMWF,120-240h,637,9.06,30.72
tcc,수원,ECMWF,240h+,24,5.25,42.75
tcc,수원,GFS,000-024h,440,4.14,19.11
tcc,수원,GFS,024-048h,416,6.19,20.7
tcc,수원,GFS,048-072h,389,7.45,24.02
tcc,수원,GFS,072-120h,683,8.07,25.26
tcc,수원,GFS,120-240h,38,12.39,30.13
tcc,수원,KIM,000-024h,294,27.49,35.07
tcc,수원,KIM,024-048h,270,19.79,37.41
tcc,수원,KIM,048-072h,232,20.32,42.51
tcc,수원,KIM,072-120h,27,19.19,43.63
tcc,인천,ECMWF,000-024h,269,1.48,18.28
tcc,인천,ECMWF,024-048h,264,3.58,17.67
tcc,인천,ECMWF,048-072h,257,2.42,19.5
tcc,인천,ECMWF,072-120h,479,7.36,21.97
tcc,인천,ECMWF,120-240h,637,7.93,31.52
tcc,인천,ECMWF,240h+,24,6.88,44.96
tcc,인천,GFS,000-024h,440,6.66,18.05
tcc,인천,GFS,024-048h,416,8.31,20.77
tcc,인천,GFS,048-072h,389,6.92,24.1
tcc,인천,GFS,072-120h,683,10.26,25.98
tcc,인천,GFS,120-240h,38,13.26,25.95
tcc,인천,KIM,000-024h,294,29.96,34.72
tcc,인천,KIM,024-048h,270,25.48,38.53
tcc,인천,KIM,048-072h,232,26.98,43.68
tcc,인천,KIM,072-120h,27,28.07,48.59
tcc,전주,ECMWF,000-024h,269,0.46,19.13
tcc,전주,ECMWF,024-048h,264,-2.64,22.29
tcc,전주,ECMWF,048-072h,257,-4.77,25.25
tcc,전주,ECMWF,072-120h,479,5.63,29.88
tcc,전주,ECMWF,120-240h,637,8.36,33.04
tcc,전주,ECMWF,240h+,24,-8.58,38.92
tcc,전주,GFS,000-024h,440,-0.88,19.79
tcc,전주,GFS,024-048h,416,1.56,22.53
tcc,전주,GFS,048-072h,389,2.8,27.51
tcc,전주,GFS,072-120h,683,1.41,25.67
tcc,전주,GFS,120-240h,38,1.03,26.39
tcc,전주,KIM,000-024h,294,26.2,34.52
tcc,전주,KIM,024-048h,270,25.49,38.0
tcc,전주,KIM,048-072h,232,19.48,42.71
tcc,전주,KIM,072-120h,27,20.48,42.48
tcc,제주,ECMWF,000-024h,269,5.31,25.5
tcc,제주,ECMWF,024-048h,264,5.95,29.81
tcc,제주,ECMWF,048-072h,257,9.22,32.61
tcc,제주,ECMWF,072-120h,479,11.14,32.46
tcc,제주,ECMWF,120-240h,637,17.09,35.53
tcc,제주,ECMWF,240h+,24,7.92,33.92
tcc,제주,GFS,000-024h,440,-0.5,27.98
tcc,제주,GFS,024-048h,416,2.34,28.54
tcc,제주,GFS,048-072h,389,-5.16,30.52
tcc,제주,GFS,072-120h,683,-1.11,28.09
tcc,제주,GFS,120-240h,38,2.55,24.5
tcc,제주,KIM,000-024h,294,25.24,32.5
tcc,제주,KIM,024-048h,270,21.05,33.45
tcc,제주,KIM,048-072h,232,14.92,30.77
tcc,제주,KIM,072-120h,27,17.89,26.04
