model,run_utc,valid_kst,step_h,city,rep,t2m_C,tcc_pct,lcc_pct,mcc_pct,hcc_pct,dswrf_avg_Wm2
ECMWF,2026-09-02 12:00,2026-09-04 00:00,27,대구,1,21.1,80.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 03:00,30,대구,1,20.0,60.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 06:00,33,대구,1,20.0,86.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 09:00,36,대구,1,22.8,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 12:00,39,대구,1,24.6,13.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 15:00,42,대구,1,24.3,14.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 18:00,45,대구,1,21.7,11.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 21:00,48,대구,1,19.8,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 00:00,51,대구,1,19.5,14.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 03:00,54,대구,1,18.9,4.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 06:00,57,대구,1,18.6,10.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 09:00,60,대구,1,22.3,19.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 12:00,63,대구,1,24.4,53.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 15:00,66,대구,1,24.0,30.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 18:00,69,대구,1,21.9,14.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 21:00,72,대구,1,20.4,12.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 00:00,75,대구,1,21.0,77.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 03:00,78,대구,1,21.0,94.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 06:00,81,대구,1,19.9,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 09:00,84,대구,1,19.8,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 12:00,87,대구,1,20.5,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 15:00,90,대구,1,21.3,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 18:00,93,대구,1,20.6,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 21:00,96,대구,1,20.7,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 00:00,99,대구,1,20.9,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 03:00,102,대구,1,21.0,89.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 06:00,105,대구,1,21.0,86.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 09:00,108,대구,1,23.2,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 12:00,111,대구,1,25.1,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 15:00,114,대구,1,25.2,69.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 18:00,117,대구,1,23.2,42.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 21:00,120,대구,1,20.4,23.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 00:00,123,대구,1,20.2,97.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 03:00,126,대구,1,19.7,29.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 06:00,129,대구,1,19.9,90.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 09:00,132,대구,1,23.5,95.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 12:00,135,대구,1,25.9,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 15:00,138,대구,1,25.9,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 18:00,141,대구,1,23.3,18.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 21:00,144,대구,1,19.6,4.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 03:00,150,대구,1,19.2,89.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 09:00,156,대구,1,21.5,32.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 15:00,162,대구,1,22.1,17.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 21:00,168,대구,1,17.3,9.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 03:00,174,대구,1,16.9,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 09:00,180,대구,1,19.4,12.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 15:00,186,대구,1,20.4,92.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 21:00,192,대구,1,17.6,11.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 03:00,198,대구,1,16.6,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 09:00,204,대구,1,21.7,82.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 15:00,210,대구,1,22.6,91.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 21:00,216,대구,1,18.7,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 03:00,222,대구,1,17.1,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 09:00,228,대구,1,20.5,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 15:00,234,대구,1,21.3,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 21:00,240,대구,1,17.7,99.0,,,,
ECMWF,2026-09-02 12:00,2026-09-02 21:00,0,광주,1,25.0,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 00:00,3,광주,1,23.9,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 03:00,6,광주,1,22.6,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 06:00,9,광주,1,22.0,97.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 09:00,12,광주,1,24.3,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 12:00,15,광주,1,28.9,93.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 15:00,18,광주,1,29.8,93.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 18:00,21,광주,1,28.2,77.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 21:00,24,광주,1,24.6,99.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 00:00,27,광주,1,23.3,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 03:00,30,광주,1,22.4,85.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 06:00,33,광주,1,21.4,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 09:00,36,광주,1,25.0,2.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 12:00,39,광주,1,28.4,1.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 15:00,42,광주,1,29.3,1.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 18:00,45,광주,1,24.9,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 21:00,48,광주,1,21.4,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 00:00,51,광주,1,19.9,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 03:00,54,광주,1,19.3,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 06:00,57,광주,1,18.7,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 09:00,60,광주,1,23.4,1.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 12:00,63,광주,1,27.9,1.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 15:00,66,광주,1,29.2,11.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 18:00,69,광주,1,25.5,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 21:00,72,광주,1,21.7,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 00:00,75,광주,1,21.3,97.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 03:00,78,광주,1,21.6,96.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 06:00,81,광주,1,20.1,89.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 09:00,84,광주,1,21.1,83.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 12:00,87,광주,1,21.9,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 15:00,90,광주,1,21.0,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 18:00,93,광주,1,20.5,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 21:00,96,광주,1,20.5,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 00:00,99,광주,1,21.1,97.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 03:00,102,광주,1,21.1,82.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 06:00,105,광주,1,21.3,9.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 09:00,108,광주,1,25.0,12.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 12:00,111,광주,1,28.0,7.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 15:00,114,광주,1,28.9,12.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 18:00,117,광주,1,26.4,7.0,,,,
ECMWF,2026-09-02 12:00,2026-09-07 21:00,120,광주,1,23.8,1.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 00:00,123,광주,1,21.9,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 03:00,126,광주,1,20.3,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 06:00,129,광주,1,20.0,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 09:00,132,광주,1,24.3,2.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 12:00,135,광주,1,28.3,2.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 15:00,138,광주,1,30.3,32.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 18:00,141,광주,1,26.0,3.0,,,,
ECMWF,2026-09-02 12:00,2026-09-08 21:00,144,광주,1,23.3,3.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 03:00,150,광주,1,20.4,5.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 09:00,156,광주,1,23.9,19.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 15:00,162,광주,1,27.2,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-09 21:00,168,광주,1,19.9,1.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 03:00,174,광주,1,17.0,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 09:00,180,광주,1,20.9,0.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 15:00,186,광주,1,26.5,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-10 21:00,192,광주,1,18.8,2.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 03:00,198,광주,1,17.5,48.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 09:00,204,광주,1,21.2,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 15:00,210,광주,1,26.8,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-11 21:00,216,광주,1,21.6,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 03:00,222,광주,1,20.0,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 09:00,228,광주,1,20.7,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 15:00,234,광주,1,21.5,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-12 21:00,240,광주,1,20.2,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-02 21:00,0,부산,1,29.4,66.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 00:00,3,부산,1,25.5,47.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 03:00,6,부산,1,25.4,77.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 06:00,9,부산,1,24.9,77.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 09:00,12,부산,1,25.6,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 12:00,15,부산,1,27.5,80.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 15:00,18,부산,1,27.5,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 18:00,21,부산,1,26.6,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-03 21:00,24,부산,1,26.5,98.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 00:00,27,부산,1,26.3,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 03:00,30,부산,1,25.9,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 06:00,33,부산,1,26.0,99.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 09:00,36,부산,1,26.4,99.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 12:00,39,부산,1,26.6,74.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 15:00,42,부산,1,26.6,41.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 18:00,45,부산,1,26.2,51.0,,,,
ECMWF,2026-09-02 12:00,2026-09-04 21:00,48,부산,1,25.9,14.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 00:00,51,부산,1,26.1,56.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 03:00,54,부산,1,25.6,4.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 06:00,57,부산,1,25.5,76.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 09:00,60,부산,1,26.0,63.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 12:00,63,부산,1,26.7,36.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 15:00,66,부산,1,27.1,61.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 18:00,69,부산,1,27.0,78.0,,,,
ECMWF,2026-09-02 12:00,2026-09-05 21:00,72,부산,1,27.1,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 00:00,75,부산,1,25.6,99.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 03:00,78,부산,1,25.6,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 06:00,81,부산,1,25.0,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 09:00,84,부산,1,25.4,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 12:00,87,부산,1,25.3,100.0,,,,
ECMWF,2026-09-02 12:00,2026-09-06 15:00,90,부산,1,25.3,100.0,,,,
