TM,STN,TA,CA_TOT,SS,SI,WS,HM
2026-08-13 01:00:00,239,23.7,1.0,,,1.2,71.0
2026-08-13 01:00:00,243,23.5,2.0,,,0.3,84.0
2026-08-13 01:00:00,244,20.6,3.0,,,0.7,87.0
2026-08-13 01:00:00,245,22.9,1.0,,,1.9,80.0
2026-08-13 01:00:00,247,24.9,3.0,,,1.9,70.0
2026-08-13 01:00:00,248,18.2,2.0,,,0.4,98.0
2026-08-13 01:00:00,251,21.7,5.0,,,0.2,90.0
2026-08-13 01:00:00,252,24.1,8.0,,,0.3,82.0
2026-08-13 01:00:00,253,24.0,5.0,,,0.2,76.0
2026-08-13 01:00:00,254,23.9,3.0,,,0.6,75.0
2026-08-13 01:00:00,255,24.8,2.0,,,0.3,73.0
2026-08-13 01:00:00,257,24.9,4.0,,,1.9,78.0
2026-08-13 01:00:00,258,23.6,4.0,,,1.2,88.0
2026-08-13 01:00:00,259,24.9,10.0,,,0.2,79.0
2026-08-13 01:00:00,260,24.9,10.0,,,0.6,75.0
2026-08-13 01:00:00,261,24.0,8.0,,,0.9,80.0
2026-08-13 01:00:00,262,24.0,8.0,,,0.5,80.0
2026-08-13 01:00:00,263,20.2,1.0,,,0.8,94.0
2026-08-13 01:00:00,264,20.2,3.0,,,0.3,91.0
2026-08-13 01:00:00,266,25.2,1.0,,,1.5,67.0
2026-08-13 01:00:00,268,21.7,1.0,,,0.3,85.0
2026-08-13 01:00:00,271,19.4,3.0,,,0.6,93.0
2026-08-13 01:00:00,272,21.1,0.0,,,0.4,89.0
2026-08-13 01:00:00,273,22.1,8.0,,,0.8,80.0
2026-08-13 01:00:00,276,20.1,6.0,,,0.0,98.0
2026-08-13 01:00:00,277,23.2,5.0,,,3.1,85.0
2026-08-13 01:00:00,278,19.8,2.0,,,0.1,94.0
2026-08-13 01:00:00,279,22.1,1.0,,,0.3,83.0
2026-08-13 01:00:00,281,21.1,2.0,,,0.4,91.0
2026-08-13 01:00:00,283,22.8,8.0,,,1.2,86.0
2026-08-13 01:00:00,284,19.6,2.0,,,1.7,89.0
2026-08-13 01:00:00,285,21.6,2.0,,,0.4,88.0
2026-08-13 01:00:00,288,25.6,2.0,,,0.8,69.0
2026-08-13 01:00:00,289,21.2,3.0,,,0.7,88.0
2026-08-13 01:00:00,294,22.9,1.0,,,0.4,81.0
2026-08-13 01:00:00,295,23.2,1.0,,,0.9,80.0
2026-08-13 01:00:00,296,25.5,4.0,,,2.8,75.0
2026-08-13 02:00:00,90,22.8,6.0,,,2.1,95.0
2026-08-13 02:00:00,93,21.9,3.0,,,0.3,81.0
2026-08-13 02:00:00,95,19.3,7.0,,,1.6,93.0
2026-08-13 02:00:00,98,20.6,3.0,,,0.4,75.0
2026-08-13 02:00:00,99,20.0,4.0,,,1.4,80.0
2026-08-13 02:00:00,100,19.2,10.0,,,3.2,94.0
2026-08-13 02:00:00,101,22.2,3.0,,,1.2,74.0
2026-08-13 02:00:00,102,23.0,9.0,,,2.8,76.0
2026-08-13 02:00:00,104,21.8,3.0,,,2.1,99.0
2026-08-13 02:00:00,105,22.2,0.0,,,2.4,94.0
2026-08-13 02:00:00,106,22.7,10.0,,,3.2,94.0
2026-08-13 02:00:00,108,23.3,1.0,,,2.3,68.0
2026-08-13 02:00:00,112,24.4,4.0,,,2.5,68.0
2026-08-13 02:00:00,114,21.8,3.0,,,0.3,79.0
2026-08-13 02:00:00,115,24.2,2.0,,,7.4,88.0
2026-08-13 02:00:00,119,23.7,1.0,,,0.6,68.0
2026-08-13 02:00:00,121,20.2,1.0,,,0.9,90.0
2026-08-13 02:00:00,127,20.9,3.0,,,0.1,87.0
2026-08-13 02:00:00,129,23.7,2.0,,,3.6,70.0
2026-08-13 02:00:00,130,23.3,2.0,,,2.1,94.0
2026-08-13 02:00:00,131,23.7,2.0,,,1.7,69.0
2026-08-13 02:00:00,133,22.3,2.0,,,1.3,81.0
2026-08-13 02:00:00,135,18.9,2.0,,,0.1,93.0
2026-08-13 02:00:00,136,20.1,3.0,,,0.0,87.0
2026-08-13 02:00:00,137,21.2,3.0,,,0.4,92.0
2026-08-13 02:00:00,138,24.8,10.0,,,1.3,72.0
2026-08-13 02:00:00,140,24.4,1.0,,,2.0,76.0
2026-08-13 02:00:00,143,23.5,2.0,,,0.5,73.0
2026-08-13 02:00:00,146,24.5,2.0,,,0.7,70.0
2026-08-13 02:00:00,152,23.2,2.0,,,3.1,81.0
2026-08-13 02:00:00,155,24.7,1.0,,,1.2,71.0
2026-08-13 02:00:00,156,25.7,6.0,,,0.4,69.0
